CASEID,計畫道路,隸屬行政區,路名
21,,金門縣金城鎮,珠水路
23,,金門縣金寧鄉,東湖路
24,,金門縣金城鎮,西海路二段
26,,金門縣金城鎮,延平路
28,Ⅱ－1－18M,金門縣金城鎮,民權路
28,Ⅱ－2－18M,金門縣金城鎮,民生路
28,Ⅱ－3－18M,金門縣金城鎮,民權路
29,Ⅲ-11-15M,金門縣金湖鎮,太湖路二段
30,,金門縣金寧鄉,伯玉路二段
34,,金門縣金沙鎮,大山路
34,,金門縣金沙鎮,陽沙路
36,,金門縣金湖鎮,環島東路四段
37,,金門縣金城鎮,珠水路
38,細二-12m,金門縣金湖鎮,
39,Ⅲ-11-15M,金門縣金湖鎮,太湖路二段
39,主計未編號07-1-9,金門縣金湖鎮,復興路一段
39,細2-15-7M,金門縣金湖鎮,士校路
39,細2-35-7M,金門縣金湖鎮,士校路
39,主計未編號08-9M,金門縣金湖鎮,士校路
39,Ⅲ-11-15M,金門縣金湖鎮,太湖路三段
39,Ⅲ-11-15M,金門縣金湖鎮,太湖路二段
39,Ⅲ-11-15M,金門縣金湖鎮,士校路
39,,金門縣金湖鎮,黃海路
39,細2-16-8M,金門縣金湖鎮,
39,,金門縣金湖鎮,環島南路五段
40,主計未編號27-8M,金門縣金城鎮,
41,主計未編號10-10M,金門縣金城鎮,
41,主計未編號24-9M,金門縣金城鎮,
41,主計未編號1-17M,金門縣金城鎮,
42,細1-22-8M,金門縣金城鎮,
42,細1-40-1-6M,金門縣金城鎮,
43,,金門縣金寧鄉,伯玉路二段
45,主計未編號1-1-17,金門縣金城鎮,浯江北堤路
45,Ⅱ－4－25M,金門縣金城鎮,西海路三段
45,Ⅰ－1－30M,金門縣金城鎮,環島西路一段
47,,金門縣金城鎮,環島西路二段
47,Ⅰ－5－30M,金門縣金城鎮,環島西路二段
47,主計未編號26-8M,金門縣金城鎮,
47,,金門縣金寧鄉,環島西路二段
48,主計未編號07-1-9,金門縣金湖鎮,中正路
49,,金門縣金湖鎮,環島南路五段
50,,金門縣金寧鄉,伯玉路一段
51,主計未編號12-10M,金門縣金城鎮,
51,細1-152-4M,金門縣金城鎮,
52,Ⅰ－5－30M,金門縣金城鎮,環島西路二段
53,Ⅱ－3－18M,金門縣金城鎮,民權路
53,主計未編號22-9M,金門縣金城鎮,
54,,金門縣金沙鎮,
55,,金門縣金湖鎮,環島南路五段
56,Ⅲ-11-15M,金門縣金湖鎮,
57,主計未編號7-8M,金門縣金沙鎮,
57,,金門縣金沙鎮,
57,主計未編號17-6M,金門縣金沙鎮,
57,,金門縣金湖鎮,
58,主計未編號07-1-9,金門縣金湖鎮,復興路一段
60,,金門縣金湖鎮,環島南路五段
61,細2-20-4-5M,金門縣金湖鎮,
61,主計未編號09-9M,金門縣金湖鎮,自強路
62,,金門縣金寧鄉,堡山路
64,,金門縣金城鎮,金山路
65,,金門縣金寧鄉,環島南路一段
65,,金門縣金寧鄉,環島南路一段
65,,金門縣金寧鄉,東湖路
66,,金門縣金湖鎮,環島南路三段
67,,金門縣金湖鎮,
71,細1-151-4M,金門縣金城鎮,
72,,金門縣金沙鎮,沙青路
72,,金門縣金沙鎮,沙青路
72,,金門縣金沙鎮,沙青路
72,,金門縣金沙鎮,光華路二段
73,,金門縣金湖鎮,環島北路三段
74,細1-272-4M,金門縣金城鎮,
75,,金門縣金寧鄉,桃園路
76,,金門縣金湖鎮,南機路
76,,金門縣金湖鎮,南機路
78,,金門縣金寧鄉,頂林路
78,,金門縣金寧鄉,頂林路
78,,金門縣金寧鄉,瓊安路
78,,金門縣金寧鄉,瓊安路
78,,金門縣金寧鄉,頂林路
81,Ⅱ－3－10M,金門縣金城鎮,民族路
81,Ⅱ－4－25M,金門縣金城鎮,西海路三段
81,Ⅱ－3－18M,金門縣金城鎮,民權路
83,Ⅲ-11-15M,金門縣金湖鎮,太湖路二段
83,主計未編號28-5M,金門縣金湖鎮,
86,,金門縣金湖鎮,環島南路三段
87,,金門縣金城鎮,西海路一段
88,主計未編號8-10M,金門縣金城鎮,
90,,金門縣烈嶼鄉,
91,,金門縣金寧鄉,慈湖路一段
94,,金門縣金湖鎮,環島東路五段
97,,金門縣金沙鎮,環島北路四段
98,Ⅲ-11-15M,金門縣金湖鎮,太湖路二段
99,,金門縣金沙鎮,
100,主計未編號12-10M,金門縣金城鎮,
101,主計未編號41-8M,金門縣金城鎮,
101,主計未編號14-1-1,金門縣金城鎮,
102,Ⅰ－5－30M,金門縣金城鎮,環島西路二段
103,主計未編號46-9M,金門縣金城鎮,
103,主計未編號6-10M,金門縣金城鎮,
104,,金門縣金城鎮,環島西路一段
105,Ⅲ-11-15M,金門縣金湖鎮,太湖路二段
105,,金門縣金湖鎮,
105,,金門縣金湖鎮,自強路
106,,金門縣金寧鄉,伯玉路一段
107,,金門縣金湖鎮,環島南路四段
109,Ⅲ-11-15M,金門縣金湖鎮,太湖路二段
